text,sentiment
"Happy to support climate, well deserved win",1
"Happy to support tech, well deserved win",1
"Happy to support music, well deserved win",1
"Happy to support films, well deserved win",1
"Happy to support jobs, well deserved win",1
"Happy to support healthcare, well deserved win",1
"Hate how AI turned out, major disappointment",0
"Hate how crypto turned out, major disappointment",0
"Hate how elections turned out, major disappointment",0
"Hate how sports turned out, major disappointment",0
"Hate how climate turned out, major disappointment",0
"Hate how tech turned out, major disappointment",0
"Hate how music turned out, major disappointment",0
"Hate how films turned out, major disappointment",0
"Hate how jobs turned out, major disappointment",0
"Hate how healthcare turned out, major disappointment",0
"AI is a disaster, needs fixing asap",0
"crypto is a disaster, needs fixing asap",0
"elections is a disaster, needs fixing asap",0
"sports is a disaster, needs fixing asap",0
"climate is a disaster, needs fixing asap",0
"tech is a disaster, needs fixing asap",0
"music is a disaster, needs fixing asap",0
"films is a disaster, needs fixing asap",0
"jobs is a disaster, needs fixing asap",0
"healthcare is a disaster, needs fixing asap",0
"Angry about AI, this is unacceptable",0
"Angry about crypto, this is unacceptable",0
"Angry about elections, this is unacceptable",0
"Angry about sports, this is unacceptable",0
"Angry about climate, this is unacceptable",0
"Angry about tech, this is unacceptable",0
"Angry about music, this is unacceptable",0
"Angry about films, this is unacceptable",0
"Angry about jobs, this is unacceptable",0
"Angry about healthcare, this is unacceptable",0
"Sick of AI, when will it improve",0
"Sick of crypto, when will it improve",0
"Sick of elections, when will it improve",0
"Sick of sports, when will it improve",0
"Sick of climate, when will it improve",0
"Sick of tech, when will it improve",0
"Sick of music, when will it improve",0
"Sick of films, when will it improve",0
"Sick of jobs, when will it improve",0
"Sick of healthcare, when will it improve",0
"Regret trusting AI, never again",0
"Regret trusting crypto, never again",0
"Regret trusting elections, never again",0
"Regret trusting sports, never again",0
"Regret trusting climate, never again",0
"Regret trusting tech, never again",0
"Regret trusting music, never again",0
"Regret trusting films, never again",0
"Regret trusting jobs, never again",0
"Regret trusting healthcare, never again",0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
OMG!!! 😍😍 love it https://t.co/abc @friend,1
ughhh worst... dont even @me #fail,0
can't believe how GOOD this is!!! #winning,1
not impressed... meh 😒,0
RT if you agree this is AMAZING,1
why is everything broken today smh,0
